features_id,bedrooms,bathrooms,squareFootage,features,lotSize
57,3.0,2.5,2232.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick', 'fireplace': True, 'fireplaceType': 'Prefab', 'floorCount': 2, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'roofType': 'Asphalt', 'unitCount': 1}",22651.0
58,3.0,1.5,896.0,"{'architectureType': 'Mobile Home', 'cooling': True, 'coolingType': 'Evaporative', 'exteriorType': 'Other', 'floorCount': 1, 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}",8992.0
59,4.0,2.0,909.0,"{'architectureType': 'Split Level', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Wood', 'floorCount': 2, 'foundationType': 'Other', 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'roomCount': 7, 'unitCount': 1}",9583.0
60,3.0,1.0,2073.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roofType': 'Asphalt', 'roomCount': 4, 'unitCount': 1}",23522.0
61,4.0,4.5,2755.0,"{'architectureType': 'Split Level', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Aluminum / Vinyl Siding', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'roomCount': 9, 'unitCount': 1}",5930.0
62,5.0,2.5,3520.0,Unknown,42105.0
63,0.0,1.0,1147.0,"{'cooling': True, 'coolingType': 'Refrigeration', 'exteriorType': 'Block', 'floorCount': 1, 'garage': True, 'garageSpaces': 2, 'garageType': 'Mixed', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Asphalt', 'roomCount': 5, 'unitCount': 1}",7000.0
64,0.0,0.0,1092.0,"{'architectureType': 'Condo / Apartment', 'unitCount': 1}",0.0
65,1.0,1.0,900.0,Unknown,0.0
66,3.0,1.0,1462.0,"{'architectureType': 'Split Entry', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Composition', 'floorCount': 2, 'foundationType': 'Concrete Block', 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Electric', 'roofType': 'Asphalt', 'roomCount': 3, 'unitCount': 1}",10454.0
67,0.0,0.0,0.0,Unknown,202990.0
68,4.0,4.0,3225.0,"{'floorCount': 1, 'garage': True, 'garageType': 'Garage', 'roomCount': 7, 'unitCount': 1}",7920.0
69,4.0,1.0,1512.0,"{'cooling': True, 'coolingType': 'Central', 'fireplace': True, 'floorCount': 1, 'garage': True, 'garageSpaces': 2, 'garageType': 'Carport', 'heating': True, 'heatingType': 'Central', 'roofType': 'Composition Shingle', 'unitCount': 1}",8276.0
70,0.0,2.0,1920.0,"{'cooling': True, 'coolingType': 'Package', 'exteriorType': 'Siding', 'floorCount': 1, 'foundationType': 'Footing', 'heating': True, 'heatingType': 'Central', 'roofType': 'Metal', 'unitCount': 1}",8500.0
71,0.0,3.0,3410.0,"{'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Brick', 'floorCount': 2, 'garage': True, 'garageType': 'Garage', 'heating': True}",0.0
72,4.0,2.5,2924.0,"{'architectureType': 'Traditional', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick Veneer', 'fireplace': True, 'floorCount': 2, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageSpaces': 1, 'garageType': 'Detached', 'heating': True, 'heatingType': 'Central', 'roomCount': 9, 'unitCount': 1}",8734.0
73,2.0,2.0,1618.0,Unknown,0.0
74,3.0,3.5,1792.0,Unknown,1120.0
75,4.0,2.5,1066.0,"{'architectureType': 'Rambler', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Brick', 'fireplace': True, 'floorCount': 1, 'garage': True, 'garageType': 'Detached', 'heating': True, 'heatingType': 'Forced Air', 'roomCount': 8, 'unitCount': 1}",19855.0
76,3.0,3.0,2484.0,{'unitCount': 1},0.0
77,7.0,3.0,5730.0,"{'exteriorType': 'Aluminum / Vinyl Siding', 'fireplace': True, 'floorCount': 3, 'roomCount': 15}",130680.0
78,0.0,0.0,0.0,{'architectureType': 'Condo / Apartment'},8717.0
79,0.0,2.0,1040.0,"{'cooling': True, 'coolingType': 'Commercial', 'floorCount': 1, 'heating': True, 'heatingType': 'Central', 'unitCount': 1}",7439.0
80,3.0,2.0,2464.0,"{'architectureType': 'Ranch', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Brick', 'fireplace': True, 'floorCount': 1, 'foundationType': 'Block', 'garage': True, 'garageSpaces': 2, 'garageType': 'Detached', 'heating': True, 'heatingType': 'Hot Water', 'roofType': 'Wood', 'roomCount': 6, 'unitCount': 1}",44431.0
81,2.0,1.0,1089.0,"{'architectureType': 'Ranch', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 1, 'foundationType': 'Raised', 'garage': True, 'garageType': 'Mixed', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'roomCount': 5}",14000.0
82,3.0,2.5,2414.0,"{'architectureType': 'Ranch', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 1, 'heating': True, 'heatingType': 'Radiant', 'roofType': 'Asphalt', 'roomCount': 6, 'unitCount': 1}",121968.0
83,2.0,0.0,860.0,"{'cooling': True, 'coolingType': 'Central', 'fireplace': True, 'fireplaceType': 'Masonry', 'floorCount': 1, 'foundationType': 'Crawl / Raised', 'garage': True, 'garageSpaces': 2, 'garageType': 'Detached Garage', 'heating': True, 'heatingType': 'Central', 'roofType': 'Asphalt', 'roomCount': 5, 'unitCount': 1}",43560.0
84,3.0,1.5,1857.0,"{'architectureType': 'Raised Ranch', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 1, 'garage': True, 'garageSpaces': 2, 'garageType': 'Basement', 'heating': True, 'heatingType': 'Hot Water', 'roomCount': 7, 'unitCount': 1}",13504.0
85,3.0,2.0,1475.0,"{'architectureType': 'High Rise', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick / Stone', 'floorCount': 1, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'roofType': 'Built-up (Layered Asphalt)', 'unitCount': 1, 'foundationType': 'Other'}",0.0
86,1.0,1.5,784.0,"{'architectureType': 'Conventional', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 2, 'heating': True, 'roomCount': 3, 'unitCount': 1}",479.0
87,2.0,3.0,2350.0,"{'architectureType': 'Condo / Apartment', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick', 'fireplace': True, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roomCount': 6, 'unitCount': 1}",40865.0
88,3.0,2.5,1537.0,"{'architectureType': 'Traditional', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Brick / Stone', 'fireplace': True, 'floorCount': 2, 'foundationType': 'Stone', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}",12197.0
